accession	virus	segment	family
NC_045512.2	SARS-CoV-2	NA	Coronaviridae
NC_002645.1	HCoV-229E	NA	Coronaviridae
NC_006213.1	HCoV-OC43	NA	Coronaviridae
NC_005831.2	HCoV-NL63	NA	Coronaviridae
NC_006577.2	HCoV-HKU1	NA	Coronaviridae
NC_002023.1	InfluenzaA	seg1_PB2	Orthomyxoviridae
NC_002021.1	InfluenzaA	seg2_PB1	Orthomyxoviridae
NC_002022.1	InfluenzaA	seg3_PA	Orthomyxoviridae
NC_002017.1	InfluenzaA	seg4_HA	Orthomyxoviridae
NC_002019.1	InfluenzaA	seg5_NP	Orthomyxoviridae
NC_002018.1	InfluenzaA	seg6_NA	Orthomyxoviridae
NC_002016.1	InfluenzaA	seg7_M	Orthomyxoviridae
NC_002020.1	InfluenzaA	seg8_NS	Orthomyxoviridae
NC_002204.1	InfluenzaB	seg1	Orthomyxoviridae
NC_002205.1	InfluenzaB	seg2	Orthomyxoviridae
NC_002206.1	InfluenzaB	seg3	Orthomyxoviridae
NC_002207.1	InfluenzaB	seg4	Orthomyxoviridae
NC_002208.1	InfluenzaB	seg5	Orthomyxoviridae
NC_002209.1	InfluenzaB	seg6	Orthomyxoviridae
NC_002210.1	InfluenzaB	seg7	Orthomyxoviridae
NC_002211.1	InfluenzaB	seg8	Orthomyxoviridae
NC_038235.1	RSV-A	NA	Pneumoviridae
NC_001781.1	RSV-B	NA	Pneumoviridae
NC_039199.1	hMPV	NA	Pneumoviridae
NC_003461.1	HPIV1	NA	Paramyxoviridae
NC_003443.1	HPIV2	NA	Paramyxoviridae
NC_001796.2	HPIV3	NA	Paramyxoviridae
NC_021928.1	HPIV4	NA	Paramyxoviridae
NC_038311.1	Rhinovirus-A	NA	Picornaviridae
NC_038312.1	Rhinovirus-B	NA	Picornaviridae
NC_009996.1	Rhinovirus-C	NA	Picornaviridae
NC_001405.1	HAdV-C	NA	Adenoviridae
