pool_id	total_reads	reads_on_panel	pct_on_panel	reads_unassigned_in_panel	reads_offpanel_unmapped	pct_offpanel
pool01	100000	71990	71.99	0	28010	28.01
pool02	100000	99938	99.94	0	62	0.06
pool03	100000	81342	81.34	0	18658	18.66
pool04	100000	85549	85.55	0	14451	14.45
pool05	100000	77986	77.99	0	22014	22.01
pool06	100000	99899	99.9	0	101	0.1
pool07	100000	66455	66.46	0	33545	33.55
pool08	100000	94901	94.9	0	5099	5.1
pool09	100000	99510	99.51	0	490	0.49
pool10	100000	96955	96.96	0	3045	3.04
pool11	100000	99982	99.98	0	18	0.02
pool12	100000	74110	74.11	0	25890	25.89
pool13	100000	36285	36.28	0	63715	63.72
pool14	100000	89637	89.64	0	10363	10.36
pool15	76508	25750	33.66	0	50758	66.34
